Date,Day of the Week,Amount,Description,Financial goals and Savings,Method of Payment,Need/Want/Saving
8/19/24,Monday,3.19,Mcdonalds,Food,Credit,Need
8/20/24,Tuesday,200,Headers for car,Travel,Cash,Want
8/21/24,Wednesday,10.14,Popeyes,Food,Credit,Need
8/21/24,Wednesday,7.49,Boba,Food,Credit,Want
8/22/24,Thursday,64.75,Gas,Travel,Credit,Want
8/23/24,Friday,10.99,pretzels,Food,Credit,Want
8/23/24,Friday,6.95,smoothie,Food,Credit,Want
8/23/24,Friday,17.39,Tacobell,Food,Credit,Need
8/24/24,Saturday,2.00,parking,Travel,Credit,Need
8/25/24,Sunday,12.68,Mcdonalds,Food,Credit,Want
8/26/24,Monday,25,socket wrench set,Entertainment and Recreation,Cash,Want
8/26/24,Monday,8.19,jolibee,Food,Credit,Need
8/27/24,Tuesday,57.89,gas,Travel,Credit,Need
8/29/24,Thursday,6.15,Mcdonalds,Food,Credit,Need
8/30/24,Friday,9.25,pizookie,Food,Credit,Need
8/31/24,Saturday,200,tune for car,Entertainment and Recreation,Cash,Want
09/01/24,Sunday,,,,,
9/2/24,Monday,,,,,
9/3/24,Tuesday,,,,,
9/4/24,Wednesday,45.74,gas,Travel,Credit,Need
9/5/24,Thursday,,,,,
9/6/24,Friday,8.16,mcdonalds,Food,Credit,Need
9/7/24,Saturday,,,,,
9/8/24,Sunday,,,,,